type	owner	path	size	time
C	NA	members	NA	NA
C	NA	members/alec	NA	NA
C	NA	members/jpelletier	NA	NA
C	NA	members/ryan	NA	NA
D	agolson	members/alec/UCD-AC34_January_29_2013.rawData.tgz	9.2 GB	2013-06-03.19:54
D	agolson	members/alec/UCD-JP35_January_29_2013.rawData.tgz	8.3 GB	2013-06-03.20:21
D	agolson	members/alec/UCD-JP40_rawData.tgz	5.5 GB	2013-06-18.19:17
D	agolson	members/alec/UCD-JP44_April_8_2013.rawData.tgz	7.2 GB	2013-06-11.20:47
D	agolson	members/alec/UCD-JP45.tgz	16 GB	2013-06-11.21:19
D	agolson	members/alec/UCD-JP46_April_8_2013.rawData.tgz	17 GB	2025-10-18.05:22
D	agolson	members/alec/UCD-JP50.tgz	3.7 GB	2013-06-18.21:57
D	agolson	members/alec/UCD-JP51.tgz	3.8 GB	2025-10-18.05:20
D	agolson	members/alec/UCD-JP52.rawData.tgz	18 GB	2014-04-05.04:39
D	agolson	members/alec/UCD-JP53.rawData.tgz	18 GB	2014-04-05.04:38
D	agolson	members/alec/UCD-JP54.rawData.tgz	17 GB	2014-04-05.04:36
D	agolson	members/alec/UCD-JP55.rawData.tgz	18 GB	2014-04-05.04:38
D	agolson	members/alec/UCD-JP58.rawData.tgz	5.1 GB	2014-04-05.01:12
D	agolson	members/alec/UCD-JP59.rawData.tgz	7.3 GB	2014-04-05.02:18
D	agolson	members/alec/UCD-JP60.rawData.tgz	6.9 GB	2014-04-05.02:03
D	agolson	members/alec/UCD-JP61.rawData.tgz	9.8 GB	2014-04-05.03:15
D	agolson	members/alec/UCD-JP63.tgz	11 GB	2014-04-05.03:36
D	agolson	members/alec/UCD-JP64.rawData.tgz	9.4 GB	2014-04-05.03:23
D	agolson	members/alec/UCD-JP65.rawData.tgz	7.9 GB	2014-04-05.02:35
D	agolson	members/alec/UCD-JP67.rawData.tgz	5.0 GB	2014-04-05.01:26
D	agolson	members/alec/UCD-JP69.rawData.tgz	10 GB	2014-04-05.03:32
D	agolson	members/alec/UCD-JP70.tgz	13 GB	2014-04-05.04:00
D	agolson	members/alec/UCD-RB41_rawData.tgz	15 GB	2013-06-18.18:41
D	agolson	members/alec/UCD-RB47.tgz	12 GB	2013-06-18.20:34
D	agolson	members/alec/UCD-RB48.tgz	8.5 GB	2013-06-18.21:30
D	agolson	members/alec/UCD-RB49.tgz	9.9 GB	2013-05-30.20:58
D	agolson	members/alec/UCD-RB56.tgz	7.8 GB	2014-04-04.22:28
D	agolson	members/alec/UCD-RB66.tgz	14 GB	2014-04-05.04:00
D	agolson	members/alec/UCD-RB68.tgz	6.9 GB	2014-04-05.01:48
D	agolson	members/alec/UCD-RB71.rawData.tgz	12 GB	2014-04-05.03:36
D	agolson	members/alec/UCD-TW37.tgz	8.1 GB	2013-06-04.20:11
D	agolson	members/alec/UCD-TW57.rawData.tgz	15 GB	2014-04-05.04:20
D	agolson	members/alec/UCD-TW62.tgz	3.5 GB	2014-04-05.00:26
D	agolson	members/alec/UCDJP42.tgz	9.9 GB	2013-06-06.18:39
D	agolson	members/alec/UCDJP43.tgz	10 GB	2013-06-06.19:45
D	agolson	members/alec/UCDTW36.tgz	8.7 GB	2013-06-03.21:03
D	agolson	members/alec/UCDTW38.tgz	7.2 GB	2025-10-18.05:11
D	agolson	members/alec/UCDTW39.tgz	12 GB	2013-06-06.17:54
D	jpelletier	members/jpelletier/UCD-JP088_rawData.tgz	16 GB	2020-05-05.21:50
D	jpelletier	members/jpelletier/UCD-JP089_rawData.tgz	16 GB	2020-05-05.22:28
D	jpelletier	members/jpelletier/UCD-JP091_rawData.tgz	16 GB	2020-05-05.23:38
D	jpelletier	members/jpelletier/UCD-JP092_rawData.tgz	12 GB	2020-05-06.15:36
D	jpelletier	members/jpelletier/UCD-JP093_rawData.tgz	7.6 GB	2020-12-21.09:01
D	jpelletier	members/jpelletier/UCD-JP094_rawData.tgz	28 GB	2020-05-06.00:20
D	jpelletier	members/jpelletier/UCD-JP095_rawData.tgz	15 GB	2020-05-06.18:23
D	jpelletier	members/jpelletier/UCD-JP73.rawData.tgz	8.3 GB	2016-01-12.21:00
D	jpelletier	members/jpelletier/UCD-JP74.rawData.tgz	9.4 GB	2016-01-12.20:31
D	jpelletier	members/jpelletier/UCD-JP75.rawData.tgz	3.4 GB	2016-01-12.21:32
D	jpelletier	members/jpelletier/UCD-JP76.rawData.tgz	7.8 GB	2016-01-13.18:04
D	jpelletier	members/jpelletier/UCD-JP79.tgz	4.5 GB	2016-01-13.19:00
D	jpelletier	members/jpelletier/UCD-JP80.tgz	5.6 GB	2016-01-13.19:40
D	jpelletier	members/jpelletier/UCD-JP82.tgz	2.6 GB	2016-01-14.18:01
D	jpelletier	members/jpelletier/UCD-JP83.rawData.tgz	9.0 GB	2016-01-14.19:27
D	jpelletier	members/jpelletier/UCD-JP90_rawData.tgz	17 GB	2020-12-21.09:00
D	jpelletier	members/jpelletier/UCD-LJ86_rawData.tgz	18 GB	2020-05-05.20:42
D	jpelletier	members/jpelletier/UCD-LJ87_rawData.tgz	17 GB	2020-05-05.21:13
D	jpelletier	members/jpelletier/UCD-RB72.tgz	7.2 GB	2016-01-12.19:59
D	jpelletier	members/jpelletier/UCD-RB77.tgz	6.4 GB	2016-01-13.00:28
D	jpelletier	members/jpelletier/UCD-RB78.rawData.tgz	3.5 GB	2016-01-13.00:20
D	jpelletier	members/jpelletier/UCD-RB81.rawData.tgz	12 GB	2016-01-13.22:28
D	jpelletier	members/jpelletier/UCDJP33.tgz	18 GB	2016-01-14.20:26
D	jpelletier	members/jpelletier/test.txt	63 B	2016-01-12.19:57
D	rkirkbride	members/ryan/UCD-JP-010_December_24_2011.tar	29 GB	2012-12-03.22:09
D	rkirkbride	members/ryan/UCD-JP-01thru06_September_01_rawData.tar	11 GB	2025-10-18.02:20
D	rkirkbride	members/ryan/UCD-JP-07_October_14_2011.tar	6.0 GB	2012-12-10.17:52
D	rkirkbride	members/ryan/UCD-JP013_May_31_2012_rawData.tar	6.8 GB	2012-12-06.22:30
D	rkirkbride	members/ryan/UCD-JP014_May_31_2012_rawData.tar	7.3 GB	2012-12-06.22:58
D	rkirkbride	members/ryan/UCD-JP08_November_04_2011_rawData.tar	8.7 GB	2025-10-18.02:20
D	rkirkbride	members/ryan/UCD-JP11_January_26_2012.tgz	6.7 GB	2012-11-29.00:40
D	rkirkbride	members/ryan/UCD-JP12_April_5_2012.tgz	8.0 GB	2012-11-30.01:13
D	rkirkbride	members/ryan/UCD-JP15_June_13_2012.tar	7.0 GB	2012-11-15.00:37
D	rkirkbride	members/ryan/UCD-JP16_June_13_2012.rawData.tgz	4.9 GB	2012-12-06.22:02
D	rkirkbride	members/ryan/UCD-JP17_July_23_2012.tar.gz	6.3 GB	2012-11-15.01:52
D	rkirkbride	members/ryan/UCD-JP18_August_06_2012.rawData.tgz	5.7 GB	2012-12-03.18:47
D	rkirkbride	members/ryan/UCD-JP19_August_06_2012.rawData.tgz	8.2 GB	2012-11-15.19:24
D	rkirkbride	members/ryan/UCD-JP2021_August_06_2012.rawData.tgz	7.3 GB	2012-11-15.19:42
D	rkirkbride	members/ryan/UCD-JP22_August_06_2012.rawData.tgz	4.0 GB	2012-11-15.20:02
D	rkirkbride	members/ryan/UCD-JP23_August_23_2012_rawData.tgz	21 GB	2012-11-15.20:11
D	rkirkbride	members/ryan/UCD-JP24_September_24_2012.rawData.tgz	7.3 GB	2012-11-15.23:00
D	rkirkbride	members/ryan/UCD-JP25_September_24_2012.rawData.tgz	16 GB	2012-11-15.23:38
D	rkirkbride	members/ryan/UCD-JP26_September_24_2012.tgz	10 GB	2012-11-27.23:32
D	rkirkbride	members/ryan/UCD-JP27_October_8_2012.rawData.tgz	16 GB	2025-10-18.02:05
D	rkirkbride	members/ryan/UCD-JP28-October-27-2012.rawData.tgz	14 GB	2012-11-30.18:14
D	rkirkbride	members/ryan/UCD-JP29-October-27-2012.rawData.tgz	14 GB	2012-11-30.18:43
D	rkirkbride	members/ryan/UCD-JP30-October-27-2012.rawData.tgz	15 GB	2025-10-18.02:12
D	agolson	members/ryan/UCD-JP32-October-27-2012.rawData.tgz	9.4 GB	2013-06-24.21:45
D	rkirkbride	members/ryan/UCD-RB31-October-27-2012.rawData.tgz	8.6 GB	2012-12-05.23:05
D	rkirkbride	members/ryan/test.txt	0 B	2012-11-14.01:43
